0.02,"Around[0.12298511654956729, 0.05187117488710696]"
0.05,"Around[0.07508625208002598, 0.06236801610797255]"
0.09,"Around[0.16817386148202632, 0.04390022630877147]"
0.12,"Around[0.10252391639818127, 0.05618759063093046]"
0.15,"Around[0.14130257655034262, 0.048365703849381526]"
0.19,"Around[0.15689139248967013, 0.045677222017241885]"
0.22,"Around[0.19184043057214017, 0.040609493404020286]"
0.26,"Around[0.22451583714831536, 0.03693375998118387]"
0.29,"Around[0.2760848239399808, 0.03276578338403818]"
0.32,"Around[0.2888051306956979, 0.031982606601522884]"
0.36,"Around[0.33989556992710307, 0.029581173428721463]"
0.39,"Around[0.3403223347047773, 0.029565438745411596]"
0.43,"Around[0.35998184435840314, 0.028906676543135636]"
0.46,"Around[0.4217084114460944, 0.02755064767164508]"
0.5,"Around[0.4902520472407517, 0.027005652609466416]"
0.53,"Around[0.49575703115477787, 0.026996889006472874]"
0.56,"Around[0.5598439889018992, 0.027217646390575268]"
0.6,"Around[0.5646424809917421, 0.027256490211124636]"
0.63,"Around[0.5952695804540715, 0.027572604829190144]"
0.67,"Around[0.696779811914611, 0.029428372182507323]"
0.7,"Around[0.6341857808895502, 0.028139042519922365]"
0.73,"Around[0.7330395721502462, 0.030392104775067944]"
0.77,"Around[0.706734710154993, 0.029676787658017373]"
0.8,"Around[0.8188897846844196, 0.033360216662780266]"
0.84,"Around[0.8994361081484544, 0.03715693093379361]"
0.87,"Around[0.8755867987110869, 0.03591805266704919]"
0.91,"Around[0.980653875729353, 0.042224297959474306]"
0.94,"Around[0.9420940538199635, 0.03964350460336716]"
0.97,"Around[1.0444395466437146, 0.04730811781813129]"
1.01,"Around[1.0640032473518792, 0.04910127829613288]"
1.04,"Around[1.0338826595068065, 0.04638897426378253]"
1.08,"Around[1.0589126651092777, 0.048623115824373044]"
1.11,"Around[1.1809333868857868, 0.06275222643592342]"
1.15,"Around[1.0446746825496303, 0.04732896802939031]"
1.18,"Around[1.220916102428777, 0.06886661706591816]"
1.21,"Around[1.2020397455787188, 0.0658706449547802]"
1.25,"Around[1.371393524581085, 0.10197337556732126]"
1.28,"Around[1.2763285336090717, 0.0789496725161902]"
1.32,"Around[1.4617182713765653, 0.1334783613660849]"
1.35,"Around[1.211910296782375, 0.06741184248023957]"
1.38,"Around[1.3986336405849535, 0.11029588475285833]"
1.42,"Around[1.7658177874207535, 0.4116237152418874]"
1.45,"Around[1.9421139579115976, 0.999602014699162]"
1.49,"Around[1.99, 0.35966534019296853]"
1.52,"Around[1.5493768356360178, 0.17787995933457174]"
1.56,"Around[2.06, 1.5027890336233245]"
1.59,"Around[1.4060439096450403, 0.11272073156106804]"
1.62,"Around[2.12, 0.8291056883057797]"
1.66,"Around[1.7352119853298313, 0.3607363216131325]"
1.69,"Around[2.148039223409807, 0.5093560602081803]"
1.73,"Around[2.1480389654231984, 0.5193218714664806]"
1.76,"Around[2.1480391168923596, 0.6853133520889043]"
1.79,"Around[1.4704030228999545, 0.1371698252704473]"
1.83,"Around[2.148039675791745, 1.3543350318564615]"
1.86,"Around[2.148039080789322, 0.873786431166602]"
1.9,"Around[1.6668165796372427, 0.27328795928409777]"
1.93,"Around[1.7609347845812355, 0.40290713402810197]"
1.97,"Around[1.53919301617728, 0.17180613852041557]"
2.,"Around[1.55578503633236, 0.1818466434778119]"
2.03,"Around[1.6628575711241984, 0.2691114379382181]"
2.07,"Around[2.148039116747424, 1.079667109751523]"
2.1,"Around[2.14803945353149, 0.6283165030553991]"
2.14,"Around[2.148038892373408, 1.7187942696102172]"
2.17,"Around[2.1480392568939743, 0.5782338199101429]"
2.2,"Around[2.3833464965116398, 3.988456607540513]"
2.24,"Around[2.4081105290816716, 3.8377289551606815]"
2.27,"Around[1.77, 0. + 0.40812251356142065*I]"
2.31,"Around[2.1480393046122113, 0.8919671485106044]"
2.34,"Around[1.8399999999999999, 0. + 0.4538960577570041*I]"
2.38,"Around[1.88, 0. + 0.31194058358284477*I]"
2.41,"Around[1.9100000000000001, 0. + 0.5234002572344973*I]"
2.44,"Around[2.5, 4.3241702282659675]"
2.48,"Around[2.5, 3.8295490201626428]"
2.51,"Around[2.5, 5.448701950038613]"
2.55,"Around[2.5, 5.59622894440946]"
